,Unnamed: 0,key,state,year,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population,pct_adult_male,pct_adult_female,pct_juvenile_male,pct_juvenile_female,pct_white,pct_black,pct_hispanic,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_other
0,0,AL - 2008,AL,2008,9584,8145,1382,57,0,3813,5268,345,0,27,0,101,29,0.8498539232053423,0.14419866444073454,0.005947412353923205,0.0,0.3978505843071786,0.5496661101836394,0.0359974958263773,0.0,0.002817195325542571,0.0,0.010538397328881469,0.0030258764607679466
11,11,AR - 2008,AR,2008,3282,2795,435,45,7,1658,1344,138,2,8,0,0,0,0.8516148689823279,0.13254113345521026,0.013711151736745886,0.0021328458257160268,0.5051797684338818,0.4095063985374772,0.04204753199268738,0.0006093845216331506,0.0024375380865326018,0.0,0.0,0.0
22,22,AZ - 2008,AZ,2008,14295,11994,2049,237,15,5576,1729,6005,847,102,0,13,23,0.8390346274921301,0.14333683105981113,0.01657922350472193,0.001049317943336831,0.3900664568030779,0.12095138160195873,0.4200769499825114,0.05925148653375306,0.007135362014690451,0.0,0.0009094088842252537,0.001608954179783141
33,33,Blank - 2008,Blank,2008,614,458,144,11,1,210,134,269,1,0,0,0,0,0.745928338762215,0.2345276872964169,0.017915309446254073,0.0016286644951140064,0.3420195439739413,0.2182410423452769,0.4381107491856677,0.0016286644951140064,0.0,0.0,0.0,0.0
35,35,CA - 2008,CA,2008,81315,70949,10364,2,0,21924,19715,34824,400,1563,231,662,731,0.8725204451823156,0.12745495910963536,2.4595708048945458e-05,0.0,0.2696181516325401,0.2424521920924799,0.4282604685482384,0.004919141609789092,0.019221545840250875,0.0028408042796532005,0.008141179364200947,0.008989731291889565
46,46,CO - 2008,CO,2008,10517,9108,1373,35,1,3805,1696,2253,66,72,2,3,1111,0.8660264333935533,0.13055053722544452,0.003327945231529904,9.508414947228295e-05,0.3617951887420367,0.1612627175049919,0.21422458876105352,0.006275553865170676,0.006846058762004374,0.00019016829894456596,0.0002852524484168489,0.10563849006370638
57,57,DC - 2008,DC,2008,3046,2680,341,25,0,86,2731,143,0,3,0,0,40,0.8798424162836507,0.11195009848982272,0.008207485226526593,0.0,0.02823374917925148,0.8965856861457651,0.04694681549573211,0.0,0.000984898227183191,0.0,0.0,0.013131976362442548
68,68,FL - 2008,FL,2008,62016,52868,8272,837,39,27927,23685,3092,27,79,4,31,49,0.8524896800825593,0.13338493292053666,0.013496517027863777,0.0006288699690402478,0.4503192724458204,0.3819175696594427,0.049858101135190916,0.00043537151702786376,0.0012738648090815275,6.449948400412795e-05,0.0004998710010319917,0.0007901186790505675
79,79,GA - 2008,GA,2008,36553,32189,4007,340,17,10930,22551,2879,20,141,6,12,7,0.8806117144967581,0.10962164528219298,0.009301562115284654,0.00046507810576423283,0.29901786447076845,0.6169397860640713,0.07876234508795447,0.0005471507126638032,0.0038574125242798133,0.00016414521379914097,0.000328290427598282,0.00019150274943233116
90,90,IA - 2008,IA,2008,1228,1044,175,9,0,786,225,167,35,9,0,0,0,0.8501628664495114,0.14250814332247558,0.00732899022801303,0.0,0.6400651465798045,0.18322475570032573,0.13599348534201955,0.02850162866449512,0.00732899022801303,0.0,0.0,0.0
