key,state,year,confined_population,adult_male,pct_adult_male,adult_female,pct_adult_female,juvenile_male,pct_juvenile_male,juvenile_female,pct_juvenile_female,white_population,pct_white,black_population,pct_black,hispanic_population,pct_hispanic,native_american_population,pct_native_american,asian_population,pct_asian,native_hawaiian_pacific_islander_population,pct_native_hawaiian_pacific_islander,two_or_more_race_population,pct_two_or_more_races,other_population,pct_other
Alabama - 2008,Alabama,2008,9584,8145,0.8498539232053423,1382,0.14419866444073456,57,0.005947412353923205,0,0.0,3813,0.3978505843071786,5268,0.5496661101836394,345,0.0359974958263773,0,0.0,27,0.002817195325542571,0,0.0,101,0.010538397328881469,29,0.0030258764607679466
Alabama - 2009,Alabama,2009,9399,8082,0.8598787105011172,1221,0.12990743696137888,93,0.00989466964570699,3,0.0003191828917969997,3571,0.37993403553569527,5055,0.5378231726779444,410,0.04362166187892329,0,0.0,27,0.0028726460261729973,0,0.0,5,0.0005319714863283328,126,0.013405681455473986
Alabama - 2010,Alabama,2010,9146,7782,0.8508637655805816,1299,0.14202930242729062,64,0.006997594576864203,1,0.00010933741526350318,3485,0.38104089219330856,4752,0.5195713973321671,255,0.027881040892193308,7,0.0007653619068445222,9,0.0009840367373715286,0,0.0,2,0.00021867483052700635,368,0.04023616881696917
Alabama - 2011,Alabama,2011,8571,7199,0.8399253295998134,1196,0.13954031034885078,166,0.01936763504841909,10,0.0011667250029168126,3319,0.3872360284680901,4740,0.5530276513825692,193,0.02251779255629448,1,0.00011667250029168125,33,0.0038501925096254812,0,0.0,0,0.0,243,0.028351417570878543
Alabama - 2012,Alabama,2012,7998,6840,0.8552138034508627,1069,0.1336584146036509,82,0.010252563140785197,5,0.000625156289072268,2787,0.34846211552888223,3727,0.46599149787446864,100,0.012503125781445362,2,0.00025006251562890725,2,0.00025006251562890725,0,0.0,2,0.00025006251562890725,18,0.002250562640660165
Alabama - 2013,Alabama,2013,8683,5275,0.607508925486583,764,0.0879880225728435,38,0.00437636761487965,1,0.00011516756881262236,2734,0.31486813313370954,4718,0.5433605896579523,220,0.02533686513877692,1,0.00011516756881262236,19,0.002188183807439825,0,0.0,1,0.00011516756881262236,0,0.0
Alabama - 2014,Alabama,2014,8122,6919,0.851883772469835,1143,0.14072888451120413,71,0.00874168923910367,9,0.001108101452844127,3571,0.43967003201181976,4248,0.523023885742428,204,0.02511696626446688,0,0.0,21,0.0025855700566362965,0,0.0,44,0.005417384880571288,3,0.00036936715094804237
Alabama - 2015,Alabama,2015,6822,5863,0.8594253884491352,916,0.13427147464086778,41,0.006009967751392554,2,0.0002931691586045148,3155,0.4624743476986221,3166,0.46408677807094695,344,0.050425095279976545,13,0.0019055995309293463,21,0.0030782761653474055,3,0.00043975373790677223,66,0.009674582233948988,0,0.0
Alabama - 2016,Alabama,2016,6228,5277,0.8473025048169557,917,0.1472382787411689,33,0.0052986512524084775,1,0.00016056518946692356,3012,0.4836223506743738,2825,0.4535966602440591,257,0.04126525369299936,7,0.001123956326268465,18,0.002890173410404624,0,0.0,54,0.008670520231213872,2,0.0003211303789338471
Alabama - 2017,Alabama,2017,6221,5231,0.8408615978138563,958,0.153994534640733,30,0.0048223758238225365,2,0.00032149172158816913,3170,0.509564378717248,2863,0.46021539945346407,157,0.025237100144671273,7,0.001125221025558592,12,0.0019289503295290146,4,0.0006429834431763383,0,0.0,7,0.001125221025558592
Alabama - 2018,Alabama,2018,8066,6919,0.8577981651376146,1119,0.13873047359285892,28,0.0034713612695264073,0,0.0,4016,0.4978923878006447,3606,0.4470617406397223,325,0.0402925861641458,6,0.0007438631291842301,25,0.0030994297049342923,0,0.0,44,0.005454996280684354,28,0.0034713612695264073
Arizona - 2008,Arizona,2008,14295,11994,0.8390346274921301,2049,0.14333683105981113,237,0.01657922350472193,15,0.001049317943336831,5576,0.390066456803078,1729,0.12095138160195873,6005,0.4200769499825114,847,0.05925148653375306,102,0.007135362014690451,0,0.0,13,0.0009094088842252536,23,0.001608954179783141
Arizona - 2009,Arizona,2009,13516,11295,0.8356762355726546,1992,0.14738088191772714,207,0.015315182006510802,22,0.0016277005031074283,5310,0.39286771234092926,1603,0.11860017756732762,5529,0.4090707309854987,929,0.0687333530630364,68,0.005031074282332051,29,0.00214560520864161,0,0.0,32,0.0023675643681562593
Arizona - 2010,Arizona,2010,12127,10362,0.8544569967840356,1596,0.13160715758225447,155,0.012781396882988374,14,0.0011544487507215305,4778,0.39399686649624804,1436,0.11841345757400841,4912,0.4050465902531541,843,0.06951430691844644,73,0.006019625628762266,0,0.0,0,0.0,64,0.005277480003298425
Arizona - 2011,Arizona,2011,11945,10087,0.8444537463373797,1683,0.14089577228966094,164,0.013729593972373378,11,0.0009208874005860192,4940,0.41356215989953954,1445,0.12097111762243616,4529,0.3791544579321892,839,0.0702385935537882,100,0.008371703641691083,2,0.00016743407283382168,0,0.0,43,0.003599832565927166
Arizona - 2012,Arizona,2012,12738,10500,0.8243052284503062,2110,0.16564609828858534,119,0.009342125922436804,9,0.000706547338671691,5429,0.4262050557387345,1573,0.1234887737478411,4636,0.3639503846757733,900,0.0706547338671691,92,0.00722248390642173,1,7.85052598524101e-05,3,0.00023551577955723034,55,0.004317789291882556
