state,confined_population,adult_male,adult_female,juvenile_male,juvenile_female,white_population,black_population,hispanic_population,native_american_population,asian_population,native_hawaiian_pacific_islander_population,two_or_more_race_population,other_population
Alabama,88840,73532,11984,703,34,36633,44968,2810,44,214,7,319,824
Arizona,138810,116604,20608,1485,113,62770,19571,44543,9729,869,136,38,270
Arkansas,34091,28338,5465,264,22,16026,10690,1017,61,112,14,487,121
Blank,983,784,184,12,3,443,216,280,1,0,0,0,41
California,834607,722477,108691,40,0,228978,171582,345137,5335,14557,3122,2637,10561
Colorado,107104,90878,16136,89,1,42406,16241,19016,578,579,67,135,7854
District of Columbia,27469,24905,2300,262,2,719,24795,1387,1,50,0,5,271
Florida,558086,470012,81539,6022,291,243563,202734,35929,216,685,155,214,2019
Georgia,358605,308804,44057,2570,306,113058,180247,20557,179,1704,241,1177,65
Idaho,26145,20748,5375,20,2,16289,749,3641,475,142,12,21,942
Illinois,158721,134352,13485,1312,58,34271,89493,22115,157,752,15,354,28
Indiana,102878,85834,15273,662,35,52157,30272,4643,63,173,19,311,395
Iowa,21428,18319,3023,84,2,9855,4346,2331,318,205,0,21,373
Kansas,39687,34107,5552,27,1,20864,12520,5092,210,306,18,32,2
Kentucky,130830,107975,22693,4,0,87958,33530,5016,66,194,6,132,149
Louisiana,262604,230992,27318,1383,82,76732,147878,4881,278,429,34,628,71
Maine,7308,5598,849,0,0,4850,443,216,30,24,3,9,1
Maryland,89165,77811,9369,1214,71,24197,58163,3404,72,239,50,15,655
Massachusetts,111225,104042,5406,304,5,42384,25044,26998,111,1076,67,1165,1653
Michigan,110416,91979,15075,2623,137,50207,47089,3681,213,298,5,61,42
Minnesota,43666,38199,5404,61,2,16132,10261,3120,2495,972,55,189,1387
Mississippi,73651,66252,6471,543,29,23789,42671,1218,86,171,2,50,313
Missouri,56063,48092,6843,851,47,22688,28251,2098,31,162,27,32,19
Montana,6755,5752,961,28,14,4144,278,248,1585,14,12,15,0
Nebraska,19727,16960,2763,3,1,8727,6982,3223,572,157,1,4,25
Nevada,64958,53396,11278,276,8,25428,18157,12905,759,1566,32,0,10
New Hampshire,11997,10193,1745,56,3,8726,1078,1209,30,48,4,6,8
New Jersey,137611,124358,13142,109,2,32532,65376,31883,211,1051,183,125,730
New Mexico,53047,46705,6052,254,36,14681,4817,23495,4725,115,13,420,281
New York,218943,192118,18775,6266,481,43019,106336,51490,551,1792,15,435,3143
North Carolina,107463,91936,12183,2855,366,33752,60051,6906,1648,226,39,56,456
North Dakota,7282,5994,1130,123,35,3836,714,383,2202,14,7,37,0
Ohio,143142,113890,22477,321,10,66859,54286,3273,32,179,22,213,3237
Oklahoma,58947,48840,9521,426,31,24418,13601,4056,3047,173,137,118,691
Oregon,37193,31552,5576,64,1,25300,4629,5058,509,511,57,154,6
Pennsylvania,346452,298568,43851,1770,71,140735,142714,42570,147,2704,51,252,1098
South Carolina,82183,70484,9645,731,57,29959,45076,3138,74,89,8,37,7
South Dakota,13411,10694,2713,4,0,5686,1039,668,5721,89,12,38,5
Tennessee,217062,172788,33689,686,11,104537,88426,5181,78,270,52,222,90
Texas,576215,476611,76117,4524,671,184997,160238,155505,219,1977,129,364,772
Utah,50406,41596,8654,34,2,33167,3096,8464,1520,1140,488,57,159
Virginia,279795,237814,38890,477,96,118731,135488,12260,315,1419,16,251,40
Washington,107881,91669,15888,316,8,67665,19224,10753,4652,3002,222,24,106
West Virginia,49374,40615,8759,0,0,40029,7042,612,31,52,4,165,7
Wisconsin,91780,78982,11254,1136,120,43298,35292,7223,2052,836,47,30,169
Wyoming,5925,4644,952,10,2,4245,392,601,216,14,14,2,0
